people,personen
LGBTQ+,LHBTQ+
Gay,Homo
Lesbians,Lesbische vrouwen
Transgender,Transgender
Queer,Queer
Bisexual,Biseksuele
asexual,aseksuele
intersex,intersekse
fiction,fictie
Two-Spirit,Two-Spirit
men,mannen
sex,seks
Sexual,seksuele
victims,slachtoffers
Pronouns,persoonlijke voornaamwoorden
Gender,gender
survivors,overlevenden
literature,literatuur
erotic,erotische
films,films
parents,ouders
fandom,fandom
youth,jongeren
Aromantic,aromantisch(e)
culture,cultuur
identity,identiteit
children,kinderen
partners,partners
Demisexual,demiseksuele
art,kunst
Asian,aziatische
centers,centra
family,gezin
Police,politie
community,gemeenschap
Non-binary,non-binaire
rights,rechten
Greyromantic,grijsromantische
Megasexual,megaseksuele
HIV,HIV
AIDS,AIDS
women,vrouwen
research,onderzoek
sexuality,seksualiteit
homophobia,homofobie
discrimination,discriminatie
coming out,coming out
positive,positieven
attitudes,attituden
orientation,oriëntatie
education,voorlichting
authors,auteurs
history,geschiedenis
feminism,feminisme
same-sex,homohuwelijk
marriage,huwelijk
safe,veilig
visibility,zichtbaarheid
masculinity,masculiniteiten
couples,paren
Transgenderism,transgenderisme
organizations,organisaties
workplace,werkvloer
relationships,relaties
heterosexual,heteroseksuele
fathers,vaders
prostitutes,prostituées
persecution,vervolging
older,ouderen
mothers,moeders
friendship,vriendschappen
public,openbare
BDSM,BDSM
single,alleenstaande
girls,meiden
boys,jongens
movements,beweging
Transvestites,travestieten
Social,sociale
masturbation,masturbatie
love,liefde
desire,wens
masculine,masculine
crossdressing,crossdressing
school,scholen
feminine,feminine
closeted,in de kast
mental,geestelijke
health,grezondheid
disorder,stoornis
suicide,zelfdoding
triangles,driehoeks
male,man
abuse,misbruik
Unrequited,onbeantwoorde
Intergenerational,intergenerationele
Former,ex-
domestic,samenwonen
partnership,partnerschap
murders,moorden
porn,porno
crime,misdrijven
activism,activisme
violence,geweld
hate,haat
Drag,drag
bullying,pesten
rape,verkrachting
clubs,clubs
war,oorlog
literary,literaire
therapy,therapie
studies,studies
groups,groepen