people,personnes
LGBTQ+,LGBTQ+
Gay,Gais
Lesbians,Lesbiennes
Transgender,Trans
Queer,Queers
Bisexual,Bisexuelles
asexual,asexuels
intersex,intersexes
fiction,littérature
Two-Spirit,Bispirituels
men,hommes
sex,rapports sexuels
Sexual,Sexuels
victims,victimes
Pronouns,Pronoms
Gender,Genre
survivors,survivantes
literature,littérature
erotic,érotique
films,films
parents,parents
fandom,communauté d'adeptes
youth,jeunes
Aromantic,aromantiques
culture,culture
identity,identité
children,enfants
partners,partenaires
Demisexual,demisexuels
art,art
Asian,asiatiques
centers,centres
family,famille
Police,police
community,communauté  
Non-binary,Non-binaires
rights,droits
Greyromantic,gris romantiques
Megasexual,Megasexuels
HIV,VIH
AIDS,sida
women,femmes
research,recherche
sexuality,sexualité
homophobia,homophobie
discrimination,discrimination
coming out,coming out
positive,séropositives
attitudes,attitudes
orientation,orientation
education,éducation
authors,personnes autrices
history,histoire
feminism,féminisme
same-sex,personnes de même sexe
marriage,mariage
safe,sécuritaire
visibility,visibilité
masculinity,masculinité
couples,couples
Transgenderism,Transitude
organizations,organismes
workplace,milieu de travail
relationships,relations
heterosexual,heterosexuels
fathers,père
prostitutes,prostitués
persecution,persécutions
older,plus âgés
mothers,mères
friendship,amitié
public,publiques
BDSM,BDSM
single,?
girls,filles
boys,garçons
movements,mouvement
Transvestites,Personnes travesties
Social,sociaux
masturbation,masturbation
love,amour
desire,Désir
masculine,masculin 
crossdressing,travestissement
school,école
feminine,feminin
closeted,dans le placard
mental,mentale
health,santé
disorder,trouble
suicide,suicide
triangles,triangles
male,homme
abuse,abus
Unrequited,non-réciproque
Intergenerational,intergénérationnelles
Former,Ex-
domestic,domestiques
partnership,partenariat
murders,meurtres 
porn,pornographie
crime,crimes
activism,activisme
violence,violence
hate,haineux
Drag,Drag
bullying,intimidation
rape,viol 
clubs,clubs
war,guerre
literary,littéraire
therapy,thérapie
studies,études
groups,groupes