people,personer
LGBTQ+,HBTQ+
Gay,bög
Lesbians,lesbiska
Transgender,trans
Queer,queer
Bisexual,bisexuell
asexual,asexuell
intersex,intersex
fiction,skönlitteratur
Two-Spirit,two-spirit
men,män
sex,sex
Sexual,sexuell
victims,offer
Pronouns,pronomen
Gender,kön
survivors,överlevare
literature,litteratur
erotic,erotisk
films,filmer
parents,föräldrar
fandom,fandom
youth,ungdomar
Aromantic,aromantisk
culture,kultur
identity,identitet
children,barn
partners,partners
Demisexual,demisexuell
art,konst
Asian,asiatiska
centers,center
family,familj
Police,polis
community,gemenskap
Non-binary,ickebinära
rights,rättigheter
Greyromantic,gråromantisk
Megasexual,megasexuell
HIV,hiv
AIDS,aids
women,kvinnor
research,forskning
sexuality,sexualitet
homophobia,homofobi
discrimination,diskriminering
coming out,komma ut
positive,positiv
attitudes,attityder
orientation,läggning
education,utbildning
authors,författare
history,historia
feminism,feminism
same-sex,samkönade
marriage,äktenskap
safe,säkert
visibility,synlighet
masculinity,maskulinitet
couples,par
Transgenderism,transsexualism
organizations,organisationer
workplace,arbetsplatsen
relationships,förhållanden
heterosexual,heterosexuella
fathers,pappor
prostitutes,prostituerad
persecution,förföljelse
older,äldre
mothers,mammor
friendship,vänskap
public,offentliga
BDSM,BDSM
single,ensamstående
girls,flickor
boys,pojkar
movements,rörelser
Transvestites,transvestiter
Social,sociala
masturbation,onani
love,kärlek
desire,längtan
masculine,maskulin
crossdressing,crossdressing
school,skola
feminine,feminin
closeted,garderobs
mental,psykisk
health,hälsa
disorder,störning
suicide,suicid
triangles,trianglar
male,manlig
abuse,misshandel
Unrequited,obesvarad
Intergenerational,intergenerationella
Former,före detta
domestic,sambo
partnership,förhållanden
murders,mord
porn,porr
crime,brott
activism,aktivism
violence,våld
hate,hat
Drag,drag
bullying,mobbning
rape,våldtäkt
clubs,föreningar
war,krig
literary,litterär
therapy,terapi
studies,studier
groups,grupper